Timestamp                       Thread     Type        Activity             PID    TTL
2026-04-29 16:43:48.055831+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] initWithName=0 (type=1) slots: name=0xffffff9d_6c7ab900 thCall=0xffffffa7_6d9f380 segStats=0xffffffab_d2cbd9e0 lock1=0xffffff9d_6c002490 lock2=0xffffff9d_6c0024c0 owner=0xffffffbe_a5808000 pbufpool=0xffffff9d_6c968790 arr1=0xffffffa2_38969190 arr2=0xffffffa2_388cf698 typeCache=1 flagsCache=0x1 singleSeg=0 disposed=0
2026-04-29 16:43:48.055835+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] FINAL branch=INIT_FALSE_POST_OSARRAY preRelease pool=0xffffff98_9ffabc00 pbufpool=0xffffff9d_6c968790 owner=0xffffffbe_a5808000 arr1=0xffffffa2_38969190 arr2=0xffffffa2_388cf698 disposed=0
2026-04-29 16:43:48.079507+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] FINAL branch=INIT_FALSE_POST_OSARRAY preRelease pool=0xffffff98_9ffabc00 pbufpool=0xffffff9d_6c968790 owner=0xffffffbe_a5808000 arr1=0xffffffa2_38969190 arr2=0xffffffa2_388cf698 disposed=0
2026-04-29 16:43:48.079538+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] FAIL: initWithName returned false; pool released to NULL
2026-04-29 16:43:48.090814+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] FAIL: initWithName returned false; pool released to NULL
2026-04-29 16:43:48.090816+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] FINAL branch=INIT_FALSE_POST_OSARRAY return=0x0_0
2026-04-29 16:43:48.102273+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] FINAL branch=INIT_FALSE_POST_OSARRAY return=0x0_0
2026-04-29 16:43:48.113044+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] new=0xffffff98_9ffabd00 poolVtable=0xffffff7f_9f926678 (size=200 opts=0xffffff90_26e7fb40 owner=0xffffffbe_a5808000 ownerVtable=0xffffff7f_9f926928 pktCount=256 bufCount=256 bufSize=2048 maxBPP=1 memSegSz=0 poolFlags=0x1 type=1)
2026-04-29 16:43:48.119156+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] new=0xffffff98_9ffabd00 poolVtable=0xffffff7f_9f926678 (size=200 opts=0xffffff90_26e7fb40 owner=0xffffffbe_a5808000 ownerVtable=0xffffff7f_9f926928 pktCount=256 bufCount=256 bufSize=2048 maxBPP=1 memSegSz=0 poolFlags=0x1 type=1)
2026-04-29 16:43:48.119229+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE ENTER this=0xffffff98_9ffabd00 desc=0xffffff90_26e7f260
